brd_id,pert_iname,candidate_rank,candidate_drug_name_norm,candidate_canonical_drug_id,similarity_score,match_rule,note
BRD-A66861218,BRD-A66861218,1,bayhdac111,1364,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,2,bayhdac112,1365,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,3,bayhdac114,1367,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,4,123138,1824,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,5,667880,1829,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,1,mycophenolicacid,2055,0.689655,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,2,alphalipoicacid,2498,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,3,parthenolide,89,0.56,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,4,tanespimycin,1026,0.48,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,5,tretinoin,1009,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,1,ct70332,2149,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,2,vnlg124,271,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,3,as601245,207,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,4,sb505124,1194,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,5,sb505124,476,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",1,methotrexate,1008,0.473684,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",2,dihydrorotenone,1827,0.439024,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",3,zoledronate,1802,0.432432,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",4,nacetylcysteine,2499,0.390244,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",5,mitomycinc,136,0.388889,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K16604360,BRD-K16604360,1,erk6604,1714,0.631579,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K16604360,BRD-K16604360,2,sb216763,1025,0.5,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K16604360,BRD-K16604360,3,bay613606,178,0.47619,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K16604360,BRD-K16604360,4,630600,1840,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K16604360,BRD-K16604360,5,ci1040,1015,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K20482099,rutin,1,ibrutinib,1799,0.714286,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K20482099,rutin,2,ruxolitinib,1507,0.625,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K20482099,rutin,3,ruxolitinib,206,0.625,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K20482099,rutin,4,nutlin3a,1047,0.615385,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K20482099,rutin,5,mirin,1048,0.6,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K03670461,tyrphostin-AG-82,1,trichostatina,437,0.666667,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K03670461,tyrphostin-AG-82,2,pyridostatin,2044,0.538462,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K03670461,tyrphostin-AG-82,3,torin2,371,0.5,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K03670461,tyrphostin-AG-82,4,bryostatin1,197,0.48,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K03670461,tyrphostin-AG-82,5,tubastatina,265,0.48,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K36737713,AG-957,1,amg319,2045,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K36737713,AG-957,2,lgk974,1598,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K36737713,AG-957,3,lgk974,573,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K36737713,AG-957,4,agi5198,1913,0.5,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K36737713,AG-957,5,agi6780,1634,0.5,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A14966924,alaproclate,1,aicaribonucleotide,1001,0.551724,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A14966924,alaproclate,2,oxaliplatin,1089,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A14966924,alaproclate,3,oxaliplatin,1806,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A14966924,alaproclate,4,zoledronate,1802,0.545455,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A14966924,alaproclate,5,alphalipoicacid,2498,0.538462,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K79131256,albendazole,1,gallibiscoquinazole,1830,0.6,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K79131256,albendazole,2,salubrinal,111,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K79131256,albendazole,3,parthenolide,89,0.521739,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K79131256,albendazole,4,palbociclib,1054,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K79131256,albendazole,5,talazoparib,1259,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
