config_id,variant,block_hidden_dim,fusion_hidden_dim,dropout,lr,weight_decay,spearman_mean,spearman_std,rmse_mean,rmse_std,val_minus_train_mse_mean,fold_1_spearman,fold_1_rmse,fold_2_spearman,fold_2_rmse,fold_3_spearman,fold_3_rmse,fold_4_spearman,fold_4_rmse,fold_5_spearman,fold_5_rmse,params_json
11,A,64,128,0.2,0.0005,1e-05,0.4734035151739603,0.008380723748055485,2.071053047822751,0.04326121210727557,-0.026953958577363223,0.4886725417823513,2.0451337090689132,0.4674964757724254,2.010786058818993,0.464557706413896,2.140697617238864,0.4746889303938639,2.073555073282901,0.47160192150726477,2.0850927807040835,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 1e-05}"
9,A,64,128,0.2,0.001,0.0001,0.47300874352513694,0.0077061507707642226,2.0729994959017257,0.04170891475803369,-0.05159627804479481,0.4848705889258155,2.0500782370175696,0.46663509046241647,2.014227094058162,0.46338884962531834,2.1404029007015346,0.47776895242010076,2.074092193018522,0.4723802361920336,2.0861970547128403,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.001, ""variant"": ""A"", ""weight_decay"": 0.0001}"
4,A,128,128,0.2,0.0005,0.0001,0.4728951925096251,0.007862050022888086,2.0727521406026908,0.04180925193801582,-0.030773511652022557,0.4861522551992848,2.0467510622664085,0.4656953974416907,2.014449375541886,0.464302130956201,2.13929974819523,0.475649117796402,2.075362355409291,0.47267706115454683,2.08789816160064,"{""block_hidden_dim"": 128, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
7,A,64,128,0.1,0.0005,0.0001,0.472412441444172,0.008663740568598909,2.069491195495611,0.04207726366999137,0.014234767740149933,0.4856511480929656,2.047684138288959,0.46684453216648436,2.0112353883050114,0.4620036580494335,2.138079947158926,0.4791174432758448,2.0649095967157116,0.46844542563613184,2.0855469070094466,"{""block_hidden_dim"": 64, ""dropout"": 0.1, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
8,A,64,128,0.3,0.0005,0.0001,0.47239745918554366,0.008451898761219429,2.074132320468619,0.04180961035490318,-0.07105056079693348,0.48658761692727,2.0483202309288986,0.46893231587153,2.014763108141374,0.46260031663985796,2.1388177969981697,0.4768013098695052,2.0755768261436063,0.46706573661955525,2.0931836401310457,"{""block_hidden_dim"": 64, ""dropout"": 0.3, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
1,A,64,128,0.2,0.0005,0.0001,0.47229952683172594,0.008829162472284302,2.072770611767367,0.042511694118714596,-0.037912052592520416,0.48885901310451957,2.0458341092213743,0.46992837428262885,2.013195851076104,0.46262360088594373,2.139495328772844,0.4717936293294741,2.075128905187466,0.4682930165560632,2.0901988645790497,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
6,A,64,256,0.2,0.0005,0.0001,0.4716865633370424,0.007921151476424877,2.074007339617207,0.04192033906103047,-0.025355942689605372,0.4847780018897344,2.051013635457066,0.46661996110286497,2.0147743500098265,0.4620929796401823,2.1417006414467084,0.4758914376962097,2.075736717059412,0.46905043635622085,2.0868113541130233,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 256, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
12,A,64,128,0.2,0.0005,0.001,0.47166641036321455,0.008555374002206585,2.0720302386397735,0.042335951283105654,-0.03566667862649897,0.48575701324073456,2.0478974329477597,0.4648602374047685,2.013297104393761,0.4634230517100788,2.1408685698776537,0.47727862778066454,2.072240083269195,0.4670131216798265,2.085848002710499,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.001}"
2,B,64,128,0.2,0.0005,0.0001,0.4715631880422162,0.00831450971651498,2.073718972864545,0.04316742774862244,-0.056346112764644476,0.48648544618609973,2.0480209520654022,0.4673735137395216,2.0130125163220276,0.4624376224932621,2.142777523196474,0.4675300504522446,2.0772954676233106,0.4739893073399532,2.087488405115511,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""B"", ""weight_decay"": 0.0001}"
3,A,32,128,0.2,0.0005,0.0001,0.47125355946568803,0.007633722218071206,2.073370748936112,0.041709736474251746,-0.05468318406242965,0.4840317701427898,2.0495679772283792,0.46892788946472236,2.0162033315934713,0.460395774831633,2.1422438243358934,0.47298973401292543,2.074563667657209,0.4699226288763693,2.0842749438656063,"{""block_hidden_dim"": 32, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
10,A,64,128,0.2,0.0001,0.0001,0.4709779692452317,0.006658704142022156,2.0744305338194287,0.04225823605380628,-0.03230556294677154,0.48161813660478336,2.047424242716464,0.46768197934839956,2.0182115385864887,0.4633768512100331,2.1443137803840924,0.4755676607096754,2.0753481101835383,0.46664521835326733,2.0868549972265593,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 128, ""lr"": 0.0001, ""variant"": ""A"", ""weight_decay"": 0.0001}"
5,A,64,64,0.2,0.0005,0.0001,0.4698973431669737,0.0071590273919716375,2.07531184497053,0.04027223985264923,-0.09309970967054362,0.4807249996608505,2.051922812856135,0.46281854305467995,2.0206595539474197,0.46409078943286697,2.141448704752049,0.4760777782179087,2.0731892877730704,0.4657746054685622,2.0893388655239757,"{""block_hidden_dim"": 64, ""dropout"": 0.2, ""fusion_hidden_dim"": 64, ""lr"": 0.0005, ""variant"": ""A"", ""weight_decay"": 0.0001}"
