config_id,spearman_mean,spearman_std,rmse_mean,rmse_std,val_minus_train_mse_mean,fold_1_spearman,fold_1_rmse,fold_2_spearman,fold_2_rmse,fold_3_spearman,fold_3_rmse,fold_4_spearman,fold_4_rmse,fold_5_spearman,fold_5_rmse,params_json
1,0.47311703961305235,0.009845358981855071,2.0670371926402114,0.043920888811681734,,0.4890522088667791,2.035934094582064,0.46720547292772174,2.009792197953579,0.4622467042866014,2.13788780576052,0.4797555712874148,2.065110259910981,0.4673252406967447,2.0864616049939118,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1, ""subsample"": 0.85}"
7,0.4723008801595919,0.009240293601560246,2.0683963435629193,0.04184933644556026,,0.4888286281235392,2.0351315311973526,0.4669212879650474,2.0143429722904362,0.4636625603950968,2.133422317238527,0.47589562490501913,2.0683247938858464,0.46619629940925666,2.090760103202437,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""subsample"": 1.0}"
6,0.4718101958486118,0.009561491052845412,2.070430377762184,0.04211338429937444,,0.4871096857432825,2.0387294687328397,0.4636586292500484,2.0175833245032226,0.46226130672648835,2.138916336092638,0.47860194538041084,2.0672674854169713,0.46741941214282884,2.089655274065249,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 5, ""subsample"": 1.0}"
5,0.47153346979289024,0.00907840170291756,2.0693850495208554,0.04309247816386463,,0.4860646524378849,2.038540828225794,0.4634261246599242,2.0138988348470463,0.46312448767825626,2.1378481040502413,0.47811715975882857,2.064037443553264,0.4669349244295574,2.092600036927932,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 1, ""subsample"": 1.0}"
2,0.47150305861327013,0.008073764394667735,2.069408573070415,0.045593830186855956,,0.48429541455284697,2.0401875983727464,0.4677201521551204,2.0063461708477406,0.46312190114190144,2.1398037636883265,0.4774151646816095,2.0667838488961205,0.4649626605348723,2.0939214835471396,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10, ""subsample"": 0.85}"
4,0.4712683718546583,0.009351617521657387,2.0706524359920175,0.042904985730676345,,0.4875001919519059,2.0389631108290747,0.4640182784325802,2.013543880623911,0.4639852050040246,2.136328959783104,0.4761958055818936,2.0688361896181817,0.46464237830288735,2.095590039105815,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""subsample"": 0.85}"
10,0.47123146181761166,0.008228136921784238,2.069746955582201,0.04264149565756365,,0.48516549036807105,2.041019246221369,0.466072124547647,2.01056443957714,0.4639177629343992,2.1355464864827822,0.4761213674089283,2.071065398734125,0.4648805638290129,2.090539206895586,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5, ""subsample"": 1.0}"
9,0.47035894068203776,0.008786995671447967,2.07733829297766,0.03987238455247041,,0.4858278457485491,2.0479494725416787,0.4613939356795049,2.0244334947285516,0.4642323210764643,2.1396649289072354,0.4739644728220418,2.077260346619542,0.4663761280836285,2.097383222091294,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 10, ""subsample"": 1.0}"
11,0.4699340881582731,0.008567384584673035,2.071270322233115,0.044282600516404313,,0.4847792647504202,2.0397016320163464,0.46515117602732653,2.011935739018081,0.4627517540206271,2.139003947357345,0.4743255873754068,2.0681699786766714,0.46266265861758465,2.097540314097132,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 1, ""subsample"": 0.7}"
12,0.46922784923507815,0.009612359059375018,2.073834530261848,0.04303287365726377,,0.4873853193812014,2.0413971028814633,0.4621835169398305,2.016093946213141,0.46231908222919255,2.1388720832373656,0.4707382435830385,2.073616586984415,0.46351308404212793,2.0991929319928553,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 10, ""subsample"": 0.85}"
3,0.46854422169675647,0.008170585055139058,2.074290232381842,0.04196776306628246,,0.48295095271763544,2.0448792024111384,0.4630846439469825,2.017378170300957,0.4654509223213843,2.138885682449029,0.47152191620418077,2.073032650666057,0.4597126732935996,2.097275456082029,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1, ""subsample"": 1.0}"
8,0.46750128269868546,0.008497606101974479,2.07776048792278,0.04286716506329804,,0.47972284499572754,2.050717074888741,0.4605770742788969,2.0179087394744015,0.4625323917960914,2.1429927011028247,0.4756734616899631,2.0747263946311922,0.45900064073274804,2.102457529516739,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 5, ""subsample"": 1.0}"
